secs,&nbsp;4 17:21+1&gt;9,&nbsp;5b 17:23+1&gt;10,&nbsp;6a 17:26+1&gt;9,&nbsp;6a 17:32+2&gt;11,&nbsp;6a 17:38+2&gt;9,&nbsp;5b 17:41+1&gt;11,&nbsp;5c 17:44+1&gt;9,-6a+ 17:47+0&gt;3,-6a+ 17:48+2&gt;10,&nbsp;7a 18:24+3&gt;8,&nbsp;6a+ 18:33+2&gt;8,-6b+ 18:59+2&gt;2,&nbsp;5a 19:03+1&gt;7,&nbsp;6b+ 19:08+2&gt;8,&nbsp;6c 19:31+2&gt;5,&nbsp;6a+ 19:33+0&gt;5,&nbsp;6a+ 19:56+2&gt;9,&nbsp;5b 19:59+1&gt;7,&nbsp;6a 20:12+2&gt;8,&nbsp;6b 20:18+4&gt;10
190,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.61,NaN,0.73,NaN,1.63,NaN,NaN,0.99,NaN,NaN,7.20
190.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.66,NaN,0.51,NaN,1.46,NaN,NaN,0.97,NaN,NaN,7.27
191,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.72,NaN,0.31,NaN,1.10,NaN,NaN,0.99,NaN,NaN,7.27
191.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.73,NaN,0.07,NaN,0.72,NaN,NaN,1.05,NaN,NaN,7.31
192,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.76,NaN,NaN,NaN,0.37,NaN,NaN,1.17,NaN,NaN,7.31
192.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.81,NaN,NaN,NaN,0.16,NaN,NaN,1.16,NaN,NaN,7.32
193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.83,NaN,NaN,NaN,0.10,NaN,NaN,1.14,NaN,NaN,7.31
193.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.86,NaN,NaN,NaN,0.12,NaN,NaN,1.11,NaN,NaN,7.30
194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.88,NaN,NaN,NaN,0.11,NaN,NaN,1.09,NaN,NaN,7.27
194.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.91,NaN,NaN,NaN,0.08,NaN,NaN,1.10,NaN,NaN,7.21
195,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.94,NaN,NaN,NaN,0.06,NaN,NaN,1.07,NaN,NaN,7.20
195.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.99,NaN,0.01,NaN,0.06,NaN,NaN,1.05,NaN,NaN,7.23
196,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.04,NaN,0.01,NaN,0.07,NaN,NaN,1.05,NaN,NaN,7.30
196.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.07,NaN,0.00,NaN,0.08,NaN,NaN,0.96,NaN,NaN,7.32
197,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.11,NaN,NaN,NaN,0.09,NaN,NaN,NaN,NaN,NaN,7.29
197.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.10,NaN,NaN,NaN,0.12,NaN,NaN,NaN,NaN,NaN,7.39
198,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.35
198.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.31
199,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.28
199.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.33
200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.41
200.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.54
201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.59
201.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.64
202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.80
202.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.80
203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.71
203.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.66
204,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.60
204.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.58
205,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.54
205.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.50
206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.50
206.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.59
207,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.62
207.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.61
208,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.60
208.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.58
209,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.59
209.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.58
210,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.59
210.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.56
211,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.59
211.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.72
212,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.78
212.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.86
213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.87
213.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.87
214,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.88
214.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.91
215,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.91
215.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.01
216,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.11
216.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.22
217,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.28
217.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.30
218,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.33
218.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.35
219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.43
219.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.58
220,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.68
220.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.76
221,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.79
221.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.79
222,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.78
222.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.80
223,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.80
223.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.83
224,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.83
224.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.93
225,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.86
225.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.75
226,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.65
226.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.57
227,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.53
227.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.51
228,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.51
228.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.50
229,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.48
229.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.48
230,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.48
230.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.47
231,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.42
231.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.38
232,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.35
232.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.33
233,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.31
233.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.30
234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.32
234.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.33
235,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.38
235.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.40
236,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.46
236.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.57
237,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.69
237.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.78
238,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.81
238.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.80
239,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.78
239.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.72
240,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.60
240.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.56
241,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.52
241.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.45
242,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.39
242.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.36
243,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.36
243.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.41
244,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.49
244.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.49
245,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.50
245.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.45
246,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.43
246.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.39
247,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.39
247.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.37
248,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.35
248.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.31
249,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.32
249.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.30
250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.32
250.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.28
251,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.29
251.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.30
252,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.32
252.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.30
253,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.36
253.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.36
254,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.37
254.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.34
255,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.36
255.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.39
256,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.40
256.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.43
257,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.45
257.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.47
258,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.50
258.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.51
259,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.52
259.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.53
260,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.55
260.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.59
261,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.61
261.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.62
262,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.62
262.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.63
263,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.62
263.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.62
264,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.60
264.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.56
265,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.55
265.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.54
266,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.56
266.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.59
267,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.60
267.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.60
268,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.64
268.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.68
269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.67
269.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.68
270,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.68
270.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.71
271,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.75
