secs,&nbsp;4 15:30+1&gt;2,&nbsp;4 15:34+0&gt;2,&nbsp;4 16:02+0&gt;1,&nbsp;4 17:42+0&gt;2
192,1.55,NaN,NaN,NaN
192.5,1.55,NaN,NaN,NaN
193,1.53,NaN,NaN,NaN
193.5,1.58,NaN,NaN,NaN
194,1.62,NaN,NaN,NaN
194.5,1.64,NaN,NaN,NaN
195,1.67,NaN,NaN,NaN
195.5,1.64,NaN,NaN,NaN
196,1.67,NaN,NaN,NaN
196.5,1.67,NaN,NaN,NaN
197,1.59,NaN,NaN,NaN
197.5,1.61,NaN,NaN,NaN
198,1.57,NaN,NaN,NaN
198.5,1.57,NaN,NaN,NaN
199,1.59,NaN,NaN,NaN
199.5,1.55,NaN,NaN,NaN
200,1.59,NaN,NaN,NaN
200.5,1.63,NaN,NaN,NaN
201,1.72,NaN,NaN,NaN
201.5,1.71,NaN,NaN,NaN
202,1.14,NaN,NaN,NaN
202.5,0.53,NaN,NaN,NaN
203,0.18,NaN,NaN,NaN
