secs,4 12:28+3&gt;1,4 12:34+20&gt;2,4 14:24+65&gt;2,4 17:43+1&gt;2,9c+ 18:19+1&gt;13,9c+ 18:20+0&gt;6
771.5,NaN,0.93,0.57,NaN,NaN,NaN
772,NaN,0.93,0.54,NaN,NaN,NaN
772.5,NaN,0.90,0.49,NaN,NaN,NaN
773,NaN,0.90,0.44,NaN,NaN,NaN
773.5,NaN,0.89,0.39,NaN,NaN,NaN
774,NaN,0.87,0.37,NaN,NaN,NaN
774.5,NaN,0.82,0.37,NaN,NaN,NaN
775,NaN,0.79,0.37,NaN,NaN,NaN
775.5,NaN,0.77,0.39,NaN,NaN,NaN
776,NaN,0.72,0.41,NaN,NaN,NaN
776.5,NaN,0.69,0.43,NaN,NaN,NaN
777,NaN,0.67,0.47,NaN,NaN,NaN
777.5,NaN,0.62,0.48,NaN,NaN,NaN
778,NaN,0.59,0.49,NaN,NaN,NaN
778.5,NaN,0.53,0.52,NaN,NaN,NaN
779,NaN,0.48,0.53,NaN,NaN,NaN
779.5,NaN,0.45,0.54,NaN,NaN,NaN
780,NaN,0.41,0.55,NaN,NaN,NaN
780.5,NaN,0.39,0.55,NaN,NaN,NaN
781,NaN,0.33,0.52,NaN,NaN,NaN
781.5,NaN,0.29,0.54,NaN,NaN,NaN
782,NaN,0.27,0.55,NaN,NaN,NaN
782.5,NaN,0.25,0.60,NaN,NaN,NaN
783,NaN,0.25,0.65,NaN,NaN,NaN
783.5,NaN,0.24,0.73,NaN,NaN,NaN
784,NaN,0.24,0.77,NaN,NaN,NaN
784.5,NaN,0.29,0.80,NaN,NaN,NaN
785,NaN,0.30,0.85,NaN,NaN,NaN
785.5,NaN,0.32,0.88,NaN,NaN,NaN
786,NaN,0.33,0.89,NaN,NaN,NaN
786.5,NaN,0.35,0.90,NaN,NaN,NaN
787,NaN,0.36,0.93,NaN,NaN,NaN
787.5,NaN,0.35,0.96,NaN,NaN,NaN
788,NaN,0.37,0.97,NaN,NaN,NaN
788.5,NaN,0.36,0.99,NaN,NaN,NaN
789,NaN,0.37,0.99,NaN,NaN,NaN
789.5,NaN,0.39,1.04,NaN,NaN,NaN
790,NaN,0.40,1.09,NaN,NaN,NaN
790.5,NaN,0.42,1.13,NaN,NaN,NaN
791,NaN,0.47,1.21,NaN,NaN,NaN
791.5,NaN,0.46,1.23,NaN,NaN,NaN
792,NaN,0.42,1.30,NaN,NaN,NaN
792.5,NaN,0.41,1.36,NaN,NaN,NaN
793,NaN,0.36,1.37,NaN,NaN,NaN
793.5,NaN,0.31,1.37,NaN,NaN,NaN
794,NaN,0.28,1.38,NaN,NaN,NaN
794.5,NaN,0.22,1.39,NaN,NaN,NaN
795,NaN,0.18,1.39,NaN,NaN,NaN
795.5,NaN,0.11,1.41,NaN,NaN,NaN
796,NaN,0.07,1.42,NaN,NaN,NaN
796.5,NaN,0.02,1.43,NaN,NaN,NaN
797,NaN,NaN,1.45,NaN,NaN,NaN
797.5,NaN,NaN,1.46,NaN,NaN,NaN
798,NaN,NaN,1.45,NaN,NaN,NaN
798.5,NaN,NaN,1.46,NaN,NaN,NaN
799,NaN,NaN,1.45,NaN,NaN,NaN
799.5,NaN,NaN,1.43,NaN,NaN,NaN
800,NaN,NaN,1.43,NaN,NaN,NaN
800.5,NaN,NaN,1.41,NaN,NaN,NaN
801,NaN,-0.00,1.37,NaN,NaN,NaN
801.5,NaN,0.02,1.37,NaN,NaN,NaN
802,NaN,0.04,1.36,NaN,NaN,NaN
802.5,NaN,0.05,1.36,NaN,NaN,NaN
803,NaN,0.06,1.35,NaN,NaN,NaN
803.5,NaN,0.07,1.36,NaN,NaN,NaN
804,NaN,0.05,1.36,NaN,NaN,NaN
804.5,NaN,0.01,1.36,NaN,NaN,NaN
805,NaN,NaN,1.35,NaN,NaN,NaN
805.5,NaN,NaN,1.36,NaN,NaN,NaN
806,NaN,NaN,1.39,NaN,NaN,NaN
806.5,NaN,NaN,1.41,NaN,NaN,NaN
807,NaN,NaN,1.43,NaN,NaN,NaN
807.5,NaN,NaN,1.46,NaN,NaN,NaN
808,NaN,NaN,1.47,NaN,NaN,NaN
808.5,NaN,NaN,1.46,NaN,NaN,NaN
809,NaN,NaN,1.46,NaN,NaN,NaN
809.5,NaN,NaN,1.42,NaN,NaN,NaN
810,NaN,NaN,1.39,NaN,NaN,NaN
810.5,NaN,0.02,1.35,NaN,NaN,NaN
811,NaN,0.07,1.31,NaN,NaN,NaN
811.5,NaN,0.15,1.29,NaN,NaN,NaN
812,NaN,0.23,1.25,NaN,NaN,NaN
812.5,NaN,0.26,1.22,NaN,NaN,NaN
813,NaN,0.30,1.21,NaN,NaN,NaN
813.5,NaN,0.35,1.17,NaN,NaN,NaN
814,NaN,0.39,1.17,NaN,NaN,NaN
814.5,NaN,0.45,1.16,NaN,NaN,NaN
815,NaN,0.48,1.17,NaN,NaN,NaN
815.5,NaN,0.53,1.21,NaN,NaN,NaN
816,NaN,0.52,1.26,NaN,NaN,NaN
816.5,NaN,0.49,1.29,NaN,NaN,NaN
817,NaN,0.47,1.35,NaN,NaN,NaN
817.5,NaN,0.47,1.39,NaN,NaN,NaN
818,NaN,0.47,1.43,NaN,NaN,NaN
818.5,NaN,0.42,1.50,NaN,NaN,NaN
819,NaN,0.39,1.53,NaN,NaN,NaN
819.5,NaN,0.37,1.59,NaN,NaN,NaN
820,NaN,0.38,1.63,NaN,NaN,NaN
820.5,NaN,0.40,1.67,NaN,NaN,NaN
821,NaN,0.43,1.66,NaN,NaN,NaN
821.5,NaN,0.43,1.65,NaN,NaN,NaN
822,NaN,0.42,1.65,NaN,NaN,NaN
822.5,NaN,0.43,1.64,NaN,NaN,NaN
823,NaN,0.40,1.62,NaN,NaN,NaN
823.5,NaN,0.40,1.61,NaN,NaN,NaN
824,NaN,0.42,1.60,NaN,NaN,NaN
824.5,NaN,0.45,1.58,NaN,NaN,NaN
825,NaN,0.48,1.52,NaN,NaN,NaN
825.5,NaN,0.46,1.45,NaN,NaN,NaN
826,NaN,0.40,1.38,NaN,NaN,NaN
826.5,NaN,0.37,1.36,NaN,NaN,NaN
827,NaN,0.32,1.32,NaN,NaN,NaN
827.5,NaN,0.30,1.29,NaN,NaN,NaN
828,NaN,0.24,1.26,NaN,NaN,NaN
828.5,NaN,0.18,1.23,NaN,NaN,NaN
829,NaN,0.10,1.20,NaN,NaN,NaN
829.5,NaN,0.05,1.18,NaN,NaN,NaN
830,NaN,0.03,1.16,NaN,NaN,NaN
830.5,NaN,NaN,1.14,NaN,NaN,NaN
831,NaN,NaN,1.12,NaN,NaN,NaN
831.5,NaN,NaN,1.13,NaN,NaN,NaN
832,NaN,NaN,1.11,NaN,NaN,NaN
832.5,NaN,NaN,1.07,NaN,NaN,NaN
833,NaN,NaN,1.02,NaN,NaN,NaN
833.5,NaN,NaN,1.00,NaN,NaN,NaN
834,NaN,NaN,0.98,NaN,NaN,NaN
834.5,NaN,NaN,0.96,NaN,NaN,NaN
835,NaN,NaN,0.91,NaN,NaN,NaN
835.5,NaN,NaN,0.89,NaN,NaN,NaN
836,NaN,NaN,0.87,NaN,NaN,NaN
836.5,NaN,NaN,0.84,NaN,NaN,NaN
837,NaN,NaN,0.79,NaN,NaN,NaN
837.5,NaN,NaN,0.73,NaN,NaN,NaN
838,NaN,NaN,0.67,NaN,NaN,NaN
838.5,NaN,NaN,0.63,NaN,NaN,NaN
839,NaN,NaN,0.60,NaN,NaN,NaN
839.5,NaN,NaN,0.57,NaN,NaN,NaN
840,NaN,NaN,0.56,NaN,NaN,NaN
840.5,NaN,NaN,0.57,NaN,NaN,NaN
841,NaN,NaN,0.62,NaN,NaN,NaN
841.5,NaN,NaN,0.65,NaN,NaN,NaN
842,NaN,NaN,0.71,NaN,NaN,NaN
842.5,NaN,NaN,0.80,NaN,NaN,NaN
843,NaN,NaN,0.86,NaN,NaN,NaN
843.5,NaN,NaN,0.90,NaN,NaN,NaN
844,NaN,NaN,0.96,NaN,NaN,NaN
844.5,NaN,NaN,1.03,NaN,NaN,NaN
845,NaN,NaN,1.08,NaN,NaN,NaN
845.5,NaN,NaN,1.10,NaN,NaN,NaN
846,NaN,NaN,1.12,NaN,NaN,NaN
846.5,NaN,NaN,1.12,NaN,NaN,NaN
847,NaN,0.03,1.11,NaN,NaN,NaN
847.5,NaN,0.08,1.12,NaN,NaN,NaN
848,NaN,0.13,1.09,NaN,NaN,NaN
848.5,NaN,0.14,1.09,NaN,NaN,NaN
849,NaN,0.13,1.08,NaN,NaN,NaN
849.5,NaN,0.13,1.12,NaN,NaN,NaN
850,NaN,0.10,1.16,NaN,NaN,NaN
850.5,NaN,0.07,1.21,NaN,NaN,NaN
851,NaN,0.06,1.23,NaN,NaN,NaN
851.5,NaN,0.04,1.28,NaN,NaN,NaN
852,NaN,0.01,1.33,NaN,NaN,NaN
852.5,NaN,NaN,1.36,NaN,NaN,NaN
853,NaN,NaN,1.40,NaN,NaN,NaN
853.5,NaN,NaN,1.42,NaN,NaN,NaN
854,NaN,NaN,1.46,NaN,NaN,NaN
854.5,NaN,NaN,1.46,NaN,NaN,NaN
855,NaN,NaN,1.45,NaN,NaN,NaN
855.5,NaN,NaN,1.46,NaN,NaN,NaN
856,NaN,NaN,1.47,NaN,NaN,NaN
856.5,NaN,NaN,1.47,NaN,NaN,NaN
857,NaN,NaN,1.45,NaN,NaN,NaN
857.5,NaN,NaN,1.42,NaN,NaN,NaN
858,NaN,NaN,1.39,NaN,NaN,NaN
858.5,NaN,NaN,1.38,NaN,NaN,NaN
859,NaN,NaN,1.38,NaN,NaN,NaN
859.5,NaN,NaN,1.36,NaN,NaN,NaN
860,NaN,NaN,1.30,NaN,NaN,NaN
860.5,NaN,0.00,1.26,NaN,NaN,NaN
861,NaN,0.04,1.22,NaN,NaN,NaN
861.5,NaN,0.07,1.16,NaN,NaN,NaN
862,NaN,0.10,1.09,NaN,NaN,NaN
862.5,NaN,0.11,1.02,NaN,NaN,NaN
863,NaN,0.11,0.94,NaN,NaN,NaN
863.5,NaN,0.13,0.91,NaN,NaN,NaN
864,NaN,0.13,0.86,NaN,NaN,NaN
864.5,NaN,0.13,0.85,NaN,NaN,NaN
865,NaN,0.12,0.88,NaN,NaN,NaN
865.5,NaN,0.09,0.88,NaN,NaN,NaN
866,NaN,0.06,0.89,NaN,NaN,NaN
866.5,NaN,0.04,0.91,NaN,NaN,NaN
867,NaN,0.01,0.92,NaN,NaN,NaN
867.5,NaN,0.00,0.92,NaN,NaN,NaN
868,NaN,NaN,0.92,NaN,NaN,NaN
868.5,NaN,NaN,0.91,NaN,NaN,NaN
869,NaN,NaN,0.92,NaN,NaN,NaN
869.5,NaN,NaN,0.92,NaN,NaN,NaN
870,NaN,NaN,0.92,NaN,NaN,NaN
870.5,NaN,NaN,0.95,NaN,NaN,NaN
871,NaN,NaN,0.96,NaN,NaN,NaN
871.5,NaN,NaN,0.95,NaN,NaN,NaN
872,NaN,-0.00,0.94,NaN,NaN,NaN
872.5,NaN,0.02,0.95,NaN,NaN,NaN
873,NaN,0.05,0.99,NaN,NaN,NaN
873.5,NaN,0.09,0.99,NaN,NaN,NaN
874,NaN,0.10,1.01,NaN,NaN,NaN
874.5,NaN,0.10,1.03,NaN,NaN,NaN
875,NaN,0.08,1.03,NaN,NaN,NaN
875.5,NaN,0.08,1.05,NaN,NaN,NaN
876,NaN,0.07,1.05,NaN,NaN,NaN
876.5,NaN,0.05,1.06,NaN,NaN,NaN
877,NaN,0.04,1.07,NaN,NaN,NaN
877.5,NaN,0.00,1.07,NaN,NaN,NaN
878,NaN,NaN,1.08,NaN,NaN,NaN
878.5,NaN,NaN,1.10,NaN,NaN,NaN
879,NaN,NaN,1.11,NaN,NaN,NaN
879.5,NaN,NaN,1.14,NaN,NaN,NaN
880,NaN,NaN,1.17,NaN,NaN,NaN
880.5,NaN,NaN,1.20,NaN,NaN,NaN
881,NaN,NaN,1.20,NaN,NaN,NaN
881.5,NaN,NaN,1.23,NaN,NaN,NaN
882,NaN,NaN,1.26,NaN,NaN,NaN
882.5,NaN,0.04,1.29,NaN,NaN,NaN
883,NaN,0.12,1.33,NaN,NaN,NaN
883.5,NaN,0.16,1.35,NaN,NaN,NaN
884,NaN,0.19,1.39,NaN,NaN,NaN
884.5,NaN,0.24,1.43,NaN,NaN,NaN
885,NaN,0.27,1.45,NaN,NaN,NaN
885.5,NaN,0.32,1.48,NaN,NaN,NaN
886,NaN,0.32,1.50,NaN,NaN,NaN
886.5,NaN,0.36,1.51,NaN,NaN,NaN
887,NaN,0.40,1.55,NaN,NaN,NaN
887.5,NaN,0.42,1.53,NaN,NaN,NaN
888,NaN,0.45,1.52,NaN,NaN,NaN
888.5,NaN,0.46,1.53,NaN,NaN,NaN
889,NaN,0.44,1.50,NaN,NaN,NaN
889.5,NaN,0.42,1.47,NaN,NaN,NaN
890,NaN,0.39,1.48,NaN,NaN,NaN
890.5,NaN,0.37,1.49,NaN,NaN,NaN
891,NaN,0.35,1.51,NaN,NaN,NaN
891.5,NaN,0.29,1.53,NaN,NaN,NaN
892,NaN,0.24,1.54,NaN,NaN,NaN
892.5,NaN,0.21,1.56,NaN,NaN,NaN
893,NaN,0.20,1.59,NaN,NaN,NaN
893.5,NaN,0.17,1.61,NaN,NaN,NaN
894,NaN,0.16,1.65,NaN,NaN,NaN
894.5,NaN,0.16,1.65,NaN,NaN,NaN
895,NaN,0.17,1.65,NaN,NaN,NaN
895.5,NaN,0.18,1.65,NaN,NaN,NaN
896,NaN,0.18,1.63,NaN,NaN,NaN
896.5,NaN,0.20,1.59,NaN,NaN,NaN
897,NaN,0.22,1.56,NaN,NaN,NaN
897.5,NaN,0.22,1.51,NaN,NaN,NaN
898,NaN,0.21,1.47,NaN,NaN,NaN
898.5,NaN,0.21,1.41,NaN,NaN,NaN
899,NaN,0.21,1.37,NaN,NaN,NaN
899.5,NaN,0.20,1.35,NaN,NaN,NaN
900,NaN,0.20,1.30,NaN,NaN,NaN
900.5,NaN,0.18,1.26,NaN,NaN,NaN
901,NaN,0.14,1.26,NaN,NaN,NaN
901.5,NaN,0.12,1.25,NaN,NaN,NaN
902,NaN,0.08,1.24,NaN,NaN,NaN
902.5,NaN,0.06,1.24,NaN,NaN,NaN
903,NaN,0.04,1.24,NaN,NaN,NaN
903.5,NaN,0.02,1.27,NaN,NaN,NaN
904,NaN,0.03,1.31,NaN,NaN,NaN
904.5,NaN,0.03,1.34,NaN,NaN,NaN
905,NaN,0.04,1.39,NaN,NaN,NaN
905.5,NaN,0.05,1.42,NaN,NaN,NaN
906,NaN,0.07,1.42,NaN,NaN,NaN
906.5,NaN,0.11,1.44,NaN,NaN,NaN
907,NaN,0.14,1.44,NaN,NaN,NaN
907.5,NaN,0.16,1.43,NaN,NaN,NaN
908,NaN,0.16,1.40,NaN,NaN,NaN
908.5,NaN,0.18,1.34,NaN,NaN,NaN
909,NaN,0.19,1.30,NaN,NaN,NaN
909.5,NaN,0.21,1.28,NaN,NaN,NaN
910,NaN,0.20,1.24,NaN,NaN,NaN
910.5,NaN,0.20,1.21,NaN,NaN,NaN
911,NaN,0.18,1.16,NaN,NaN,NaN
911.5,NaN,0.15,1.14,NaN,NaN,NaN
912,NaN,0.13,1.12,NaN,NaN,NaN
912.5,NaN,0.13,1.06,NaN,NaN,NaN
913,NaN,0.13,0.99,NaN,NaN,NaN
913.5,NaN,0.12,0.91,NaN,NaN,NaN
914,NaN,0.11,0.80,NaN,NaN,NaN
914.5,NaN,0.13,0.78,NaN,NaN,NaN
915,NaN,0.15,0.72,NaN,NaN,NaN
915.5,NaN,0.13,0.64,NaN,NaN,NaN
916,NaN,0.12,0.53,NaN,NaN,NaN
916.5,NaN,0.13,0.42,NaN,NaN,NaN
917,NaN,0.22,0.36,NaN,NaN,NaN
917.5,NaN,0.32,0.24,NaN,NaN,NaN
918,NaN,0.38,0.13,NaN,NaN,NaN
918.5,NaN,0.47,0.08,NaN,NaN,NaN
919,NaN,0.53,0.08,NaN,NaN,NaN
919.5,NaN,0.55,0.11,NaN,NaN,NaN
920,NaN,0.59,0.18,NaN,NaN,NaN
920.5,NaN,0.59,0.26,NaN,NaN,NaN
921,NaN,0.68,0.37,NaN,NaN,NaN
921.5,NaN,0.77,0.48,NaN,NaN,NaN
922,NaN,0.80,0.54,NaN,NaN,NaN
922.5,NaN,0.88,0.65,NaN,NaN,NaN
923,NaN,0.91,0.77,NaN,NaN,NaN
923.5,NaN,0.91,0.87,NaN,NaN,NaN
924,NaN,0.90,0.93,NaN,NaN,NaN
924.5,NaN,0.87,0.94,NaN,NaN,NaN
925,NaN,0.85,0.98,NaN,NaN,NaN
925.5,NaN,0.82,1.02,NaN,NaN,NaN
926,NaN,0.74,1.05,NaN,NaN,NaN
926.5,NaN,0.68,1.09,NaN,NaN,NaN
927,NaN,0.65,1.11,NaN,NaN,NaN
927.5,NaN,0.63,1.13,NaN,NaN,NaN
928,NaN,0.63,1.18,NaN,NaN,NaN
928.5,NaN,0.62,1.19,NaN,NaN,NaN
929,NaN,0.62,1.20,NaN,NaN,NaN
929.5,NaN,0.60,1.19,NaN,NaN,NaN
930,NaN,0.61,1.21,NaN,NaN,NaN
930.5,NaN,0.59,1.22,NaN,NaN,NaN
931,NaN,0.58,1.26,NaN,NaN,NaN
931.5,NaN,0.55,1.28,NaN,NaN,NaN
932,NaN,0.52,1.29,NaN,NaN,NaN
932.5,NaN,0.49,1.30,NaN,NaN,NaN
933,NaN,0.47,1.30,NaN,NaN,NaN
933.5,NaN,0.42,1.30,NaN,NaN,NaN
934,NaN,0.38,1.28,NaN,NaN,NaN
934.5,NaN,0.32,1.26,NaN,NaN,NaN
935,NaN,0.26,1.24,NaN,NaN,NaN
935.5,NaN,0.23,1.23,NaN,NaN,NaN
936,NaN,0.15,1.23,NaN,NaN,NaN
936.5,NaN,0.08,1.26,NaN,NaN,NaN
937,NaN,0.04,1.26,NaN,NaN,NaN
937.5,NaN,0.02,1.28,NaN,NaN,NaN
938,NaN,0.00,1.33,NaN,NaN,NaN
938.5,NaN,NaN,1.41,NaN,NaN,NaN
939,NaN,0.01,1.48,NaN,NaN,NaN
939.5,NaN,0.07,1.52,NaN,NaN,NaN
940,NaN,0.11,1.58,NaN,NaN,NaN
940.5,NaN,0.11,1.65,NaN,NaN,NaN
941,NaN,0.17,1.70,NaN,NaN,NaN
941.5,NaN,0.22,1.75,NaN,NaN,NaN
942,NaN,0.24,1.77,NaN,NaN,NaN
942.5,NaN,0.26,1.83,NaN,NaN,NaN
943,NaN,0.26,1.85,NaN,NaN,NaN
943.5,NaN,0.24,1.84,NaN,NaN,NaN
944,NaN,0.23,1.80,NaN,NaN,NaN
944.5,NaN,0.22,1.79,NaN,NaN,NaN
945,NaN,0.24,1.78,NaN,NaN,NaN
945.5,NaN,0.25,1.78,NaN,NaN,NaN
946,NaN,0.28,1.78,NaN,NaN,NaN
946.5,NaN,0.29,1.78,NaN,NaN,NaN
947,NaN,0.29,1.76,NaN,NaN,NaN
947.5,NaN,0.30,1.72,NaN,NaN,NaN
948,NaN,0.29,1.68,NaN,NaN,NaN
948.5,NaN,0.30,1.64,NaN,NaN,NaN
949,NaN,0.29,1.64,NaN,NaN,NaN
949.5,NaN,0.27,1.59,NaN,NaN,NaN
950,NaN,0.24,1.52,NaN,NaN,NaN
950.5,NaN,0.21,1.48,NaN,NaN,NaN
951,NaN,0.16,1.39,NaN,NaN,NaN
951.5,NaN,0.10,1.36,NaN,NaN,NaN
952,NaN,0.02,1.28,NaN,NaN,NaN
952.5,NaN,NaN,1.23,NaN,NaN,NaN
953,NaN,NaN,1.22,NaN,NaN,NaN
953.5,NaN,NaN,1.18,NaN,NaN,NaN
954,NaN,NaN,1.18,NaN,NaN,NaN
954.5,NaN,NaN,1.16,NaN,NaN,NaN
955,NaN,NaN,1.17,NaN,NaN,NaN
955.5,NaN,NaN,1.19,NaN,NaN,NaN
956,NaN,NaN,1.20,NaN,NaN,NaN
956.5,NaN,NaN,1.19,NaN,NaN,NaN
957,NaN,NaN,1.18,NaN,NaN,NaN
957.5,NaN,NaN,1.21,NaN,NaN,NaN
958,NaN,NaN,1.21,NaN,NaN,NaN
958.5,NaN,NaN,1.22,NaN,NaN,NaN
959,NaN,NaN,1.21,NaN,NaN,NaN
959.5,NaN,NaN,1.23,NaN,NaN,NaN
960,NaN,NaN,1.24,NaN,NaN,NaN
960.5,NaN,NaN,1.22,NaN,NaN,NaN
961,NaN,NaN,1.19,NaN,NaN,NaN
961.5,NaN,NaN,1.17,NaN,NaN,NaN
962,NaN,NaN,1.14,NaN,NaN,NaN
962.5,NaN,NaN,1.10,NaN,NaN,NaN
963,NaN,NaN,1.05,NaN,NaN,NaN
963.5,NaN,NaN,0.98,NaN,NaN,NaN
964,NaN,NaN,0.96,NaN,NaN,NaN
964.5,NaN,NaN,0.91,NaN,NaN,NaN
965,NaN,NaN,0.84,NaN,NaN,NaN
965.5,NaN,NaN,0.77,NaN,NaN,NaN
966,NaN,NaN,0.71,NaN,NaN,NaN
966.5,NaN,NaN,0.69,NaN,NaN,NaN
967,NaN,NaN,0.67,NaN,NaN,NaN
967.5,NaN,NaN,0.68,NaN,NaN,NaN
968,NaN,NaN,0.68,NaN,NaN,NaN
968.5,NaN,NaN,0.65,NaN,NaN,NaN
969,NaN,NaN,0.68,NaN,NaN,NaN
969.5,NaN,NaN,0.74,NaN,NaN,NaN
970,NaN,NaN,0.79,NaN,NaN,NaN
970.5,NaN,NaN,0.85,NaN,NaN,NaN
971,NaN,0.01,0.89,NaN,NaN,NaN
971.5,NaN,0.09,0.92,NaN,NaN,NaN
972,NaN,0.11,0.98,NaN,NaN,NaN
972.5,NaN,0.12,1.07,NaN,NaN,NaN
973,NaN,0.14,1.10,NaN,NaN,NaN
973.5,NaN,0.15,1.11,NaN,NaN,NaN
974,NaN,0.15,1.13,NaN,NaN,NaN
974.5,NaN,0.16,1.21,NaN,NaN,NaN
975,NaN,0.15,1.30,NaN,NaN,NaN
975.5,NaN,0.12,1.34,NaN,NaN,NaN
976,NaN,0.13,1.33,NaN,NaN,NaN
976.5,NaN,0.12,1.31,NaN,NaN,NaN
977,NaN,0.11,1.25,NaN,NaN,NaN
977.5,NaN,0.11,1.16,NaN,NaN,NaN
978,NaN,0.13,1.03,NaN,NaN,NaN
978.5,NaN,0.14,0.87,NaN,NaN,NaN
979,NaN,0.13,0.78,NaN,NaN,NaN
979.5,NaN,0.12,0.60,NaN,NaN,NaN
980,NaN,0.12,0.39,NaN,NaN,NaN
980.5,NaN,0.10,0.22,NaN,NaN,NaN
981,NaN,0.08,0.10,NaN,NaN,NaN
981.5,NaN,0.08,0.06,NaN,NaN,NaN
982,NaN,0.04,0.03,NaN,NaN,NaN
982.5,NaN,0.06,0.07,NaN,NaN,NaN
983,NaN,0.06,0.14,NaN,NaN,NaN
983.5,NaN,0.02,0.23,NaN,NaN,NaN
984,NaN,0.02,0.27,NaN,NaN,NaN
984.5,NaN,0.01,0.34,NaN,NaN,NaN
985,NaN,NaN,0.39,NaN,NaN,NaN
985.5,NaN,NaN,0.42,NaN,NaN,NaN
986,NaN,-0.00,0.47,NaN,NaN,NaN
986.5,NaN,0.03,0.49,NaN,NaN,NaN
987,NaN,0.06,0.53,NaN,NaN,NaN
987.5,NaN,0.09,0.57,NaN,NaN,NaN
988,NaN,0.06,0.59,NaN,NaN,NaN
988.5,NaN,0.04,0.66,NaN,NaN,NaN
989,NaN,0.04,0.70,NaN,NaN,NaN
989.5,NaN,0.04,0.76,NaN,NaN,NaN
990,NaN,0.01,0.81,NaN,NaN,NaN
990.5,NaN,NaN,0.90,NaN,NaN,NaN
991,NaN,NaN,0.99,NaN,NaN,NaN
991.5,NaN,NaN,1.03,NaN,NaN,NaN
992,NaN,NaN,1.09,NaN,NaN,NaN
992.5,NaN,NaN,1.16,NaN,NaN,NaN
993,NaN,NaN,1.23,NaN,NaN,NaN
993.5,NaN,NaN,1.31,NaN,NaN,NaN
994,NaN,NaN,1.36,NaN,NaN,NaN
994.5,NaN,NaN,1.42,NaN,NaN,NaN
995,NaN,NaN,1.55,NaN,NaN,NaN
995.5,NaN,NaN,1.63,NaN,NaN,NaN
996,NaN,NaN,1.72,NaN,NaN,NaN
996.5,NaN,NaN,1.75,NaN,NaN,NaN
997,NaN,NaN,1.79,NaN,NaN,NaN
997.5,NaN,NaN,1.83,NaN,NaN,NaN
998,NaN,NaN,1.90,NaN,NaN,NaN
998.5,NaN,NaN,1.94,NaN,NaN,NaN
999,NaN,NaN,1.98,NaN,NaN,NaN
999.5,NaN,NaN,2.02,NaN,NaN,NaN
1000,NaN,NaN,2.04,NaN,NaN,NaN
1000.5,NaN,NaN,2.02,NaN,NaN,NaN
1001,NaN,NaN,1.97,NaN,NaN,NaN
1001.5,NaN,NaN,1.95,NaN,NaN,NaN
1002,NaN,NaN,1.89,NaN,NaN,NaN
1002.5,NaN,NaN,1.83,NaN,NaN,NaN
1003,NaN,NaN,1.76,NaN,NaN,NaN
1003.5,NaN,NaN,1.69,NaN,NaN,NaN
1004,NaN,NaN,1.66,NaN,NaN,NaN
1004.5,NaN,NaN,1.58,NaN,NaN,NaN
1005,NaN,NaN,1.54,NaN,NaN,NaN
1005.5,NaN,NaN,1.48,NaN,NaN,NaN
1006,NaN,0.02,1.42,NaN,NaN,NaN
1006.5,NaN,0.07,1.40,NaN,NaN,NaN
1007,NaN,0.12,1.35,NaN,NaN,NaN
1007.5,NaN,0.12,1.31,NaN,NaN,NaN
1008,NaN,0.13,1.30,NaN,NaN,NaN
1008.5,NaN,0.18,1.29,NaN,NaN,NaN
1009,NaN,0.21,1.28,NaN,NaN,NaN
1009.5,NaN,0.22,1.22,NaN,NaN,NaN
1010,NaN,0.21,1.15,NaN,NaN,NaN
1010.5,NaN,0.22,1.05,NaN,NaN,NaN
1011,NaN,0.22,1.00,NaN,NaN,NaN
1011.5,NaN,0.23,0.93,NaN,NaN,NaN
1012,NaN,0.24,0.85,NaN,NaN,NaN
1012.5,NaN,0.24,0.80,NaN,NaN,NaN
1013,NaN,0.22,0.72,NaN,NaN,NaN
1013.5,NaN,0.23,0.69,NaN,NaN,NaN
1014,NaN,0.23,0.63,NaN,NaN,NaN
1014.5,NaN,0.24,0.58,NaN,NaN,NaN
1015,NaN,0.23,0.57,NaN,NaN,NaN
1015.5,NaN,0.23,0.58,NaN,NaN,NaN
1016,NaN,0.23,0.59,NaN,NaN,NaN
1016.5,NaN,0.25,0.62,NaN,NaN,NaN
1017,NaN,0.24,0.63,NaN,NaN,NaN
1017.5,NaN,0.23,0.67,NaN,NaN,NaN
1018,NaN,0.22,0.70,NaN,NaN,NaN
1018.5,NaN,0.22,0.73,NaN,NaN,NaN
1019,NaN,0.21,0.75,NaN,NaN,NaN
1019.5,NaN,0.22,0.79,NaN,NaN,NaN
1020,NaN,0.22,0.86,NaN,NaN,NaN
1020.5,NaN,0.22,0.92,NaN,NaN,NaN
1021,NaN,0.21,0.95,NaN,NaN,NaN
1021.5,NaN,0.20,1.02,NaN,NaN,NaN
1022,NaN,0.20,1.06,NaN,NaN,NaN
1022.5,NaN,0.17,1.06,NaN,NaN,NaN
1023,NaN,0.15,1.06,NaN,NaN,NaN
1023.5,NaN,0.13,1.04,NaN,NaN,NaN
1024,NaN,0.10,1.01,NaN,NaN,NaN
1024.5,NaN,0.07,0.98,NaN,NaN,NaN
1025,NaN,0.03,0.94,NaN,NaN,NaN
1025.5,NaN,NaN,0.92,NaN,NaN,NaN
1026,NaN,NaN,0.90,NaN,NaN,NaN
1026.5,NaN,NaN,0.91,NaN,NaN,NaN
1027,NaN,NaN,0.92,NaN,NaN,NaN
1027.5,NaN,NaN,0.90,NaN,NaN,NaN
